CX Calls Call Started Date,CX Calls Call Started Hour of Day,calls,emails,chats,sms,orders
1/15/2016,22,0,549,0,0,265
1/15/2016,18,0,1809,101,0,1425
1/15/2016,4,0,65,0,0,9
1/15/2016,7,0,285,0,0,61
1/15/2016,13,0,2457,269,0,1101
1/15/2016,9,0,2037,137,0,441
1/15/2016,11,0,2445,225,0,817
1/15/2016,5,0,61,0,0,9
1/15/2016,3,0,73,0,0,61
1/15/2016,17,0,2501,165,0,1369
1/15/2016,10,0,1937,141,0,629
1/15/2016,14,0,2701,189,0,1389
1/15/2016,1,0,229,0,0,81
1/15/2016,23,0,405,0,0,213
1/15/2016,0,0,341,0,0,153
1/15/2016,8,0,989,0,0,125
1/16/2016,22,25,397,0,0,373
1/16/2016,20,73,1057,53,0,741
1/16/2016,19,237,1021,69,0,1105
1/16/2016,21,17,1013,0,0,433
1/16/2016,23,17,573,0,0,209
1/16/2016,6,0,73,0,0,9
1/16/2016,11,0,1273,73,0,913
1/16/2016,4,0,89,0,0,1
1/16/2016,8,0,309,0,0,81
1/16/2016,17,0,1577,97,0,1809
1/16/2016,5,0,69,0,0,0
1/16/2016,2,0,85,0,0,57
1/16/2016,0,0,341,0,0,93
1/16/2016,18,0,1401,105,0,1549
1/16/2016,15,0,1361,105,0,2189
1/16/2016,10,0,761,53,0,325
1/16/2016,7,0,169,0,0,25
1/16/2016,16,0,1249,81,0,1969
1/16/2016,13,0,1521,101,0,1725
1/16/2016,9,0,881,0,0,137
1/16/2016,3,0,169,0,0,25
1/16/2016,1,0,173,0,0,105
1/16/2016,14,0,1373,117,0,1897
1/16/2016,12,0,1337,97,0,1325
1/17/2016,13,361,1133,57,0,1265
1/17/2016,1,1,141,0,0,77
1/17/2016,10,237,809,57,0,241
1/17/2016,0,9,285,0,0,157
1/17/2016,7,5,173,0,0,25
1/17/2016,9,85,941,0,0,129
1/17/2016,11,401,1033,85,0,681
1/17/2016,2,1,93,0,0,45
1/17/2016,12,429,969,29,0,1201
1/17/2016,16,409,1369,89,0,1649
1/17/2016,18,213,1225,69,0,1257
1/17/2016,15,405,1061,65,0,1589
1/17/2016,6,1,65,0,0,0
1/17/2016,14,481,1329,49,0,1613
1/17/2016,17,277,1769,77,0,1497
1/17/2016,8,21,369,0,0,73
1/17/2016,3,0,69,0,0,13
1/17/2016,5,0,61,0,0,13
1/17/2016,22,0,465,0,0,289
1/17/2016,23,0,393,0,0,221
